"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
-0.94913566,0.6945188,0.12376313,291.19592,281.13428,264.37766,240.69252,226.42365
2.5607336,8.5794725,0.25463572,350.66525,281.90009,253.08057,217.48422,201.87636
1.2139429,0.52691048,0.1397076,255.94397,241.44872,224.18639,207.32863,195.11398
-0.62646431,1.693468,0.11810935,284.8237,279.44125,263.81894,243.45479,230.73441
-1.0253128,0.75779849,0.11931083,289.52219,281.83505,264.97974,243.52945,230.88132
-1.221488,0.45997554,0.12701981,293.22125,282.82727,266.57397,243.37531,228.84152
-0.88941181,2.158989,0.12903197,286.91647,279.40274,265.54807,244.68781,231.0547
-1.1194452,0.51814228,0.1247329,293.22125,279.70618,262.66782,243.15857,229.20758
-1.2311603,0.72525728,0.11865653,287.74249,279.43164,263.75153,240.27831,227.59888
-0.84510684,0.66132015,0.13658641,297.62836,287.54984,264.43787,238.66959,222.97984
-0.77234709,1.7722923,0.10459855,280.05777,270.59335,258.37149,238.27464,227.41344
-0.95485157,0.81058687,0.12733851,300.46768,294.39407,270.5163,247.53918,232.38406
-1.2169126,0.51876169,0.1255751,293.71979,282.24689,266.46078,242.96832,228.94026
0.80754292,1.1365715,0.14564407,254.0583,241.08266,222.69809,202.40135,192.61182
-1.1551397,0.40384069,0.13554598,292.86966,280.0361,262.28247,238.90079,223.84441
1.0988486,0.82951736,0.15121348,259.92239,244.39882,226.45735,208.72301,195.21996
-1.0317487,2.2864759,0.12433813,286.34332,280.91992,264.64017,241.47279,227.36768
1.2962981,2.2459593,0.14161998,258.93021,242.38071,224.7475,209.97771,196.84311
0.77673203,1.8099304,0.16925836,272.03348,256.93616,234.77065,213.40945,197.9485
-0.91245967,2.0303154,0.11299532,291.72092,284.0025,270.09244,247.97507,230.81628
1.1256438,0.94111943,0.16294202,277.54117,255.84041,232.8898,208.67966,195.89185
-0.98095447,1.0841219,0.1087675,279.65561,272.40436,259.14453,241.3837,228.65369
-0.71630347,2.4734683,0.10490898,284.47931,272.86194,258.79773,242.6095,229.039
-1.1013063,1.5412422,0.15761404,311.82019,290.75763,266.88947,246.81911,226.92697
-0.93869174,2.4827588,0.12943721,289.09113,284.45282,268.89072,245.39343,230.95596
-0.75934005,1.3118297,0.11013342,287.02243,277.05228,270.07559,248.60362,230.00471
-0.42017958,1.3119074,0.14161731,293.2887,281.02588,265.62512,240.41557,224.078
0.66383076,0.69707274,0.083834089,267.05322,259.6647,255.09627,240.7431,227.33636
1.2120751,6.5428414,0.1611487,291.2706,282.30948,250.69398,222.65955,213.53709
-0.91745085,0.72802514,0.11146421,282.28058,274.42487,260.28363,239.70273,227.59888
-1.0767201,1.1268833,0.12968421,288.32288,278.21786,261.34567,237.33542,222.50301
-1.3222957,1.160678,0.12976837,302.40393,294.9552,270.11893,248.13882,232.52856
0.99516523,1.0809709,0.124528,242.87439,231.44966,218.31989,205.42853,194.84668
-1.3208696,0.60775262,0.12125385,290.09537,280.71042,264.99176,241.61247,227.70242
0.19417347,1.8564755,0.13306496,298.16541,286.98871,282.35043,249.28516,227.50253
-0.68870223,2.7922294,0.12799886,292.01474,278.21786,258.57379,241.12601,226.74635
-1.1939799,1.4664936,0.13799819,300.29431,282.33118,262.31378,243.43552,227.81561
1.1976665,0.94944465,0.11673358,240.25182,227.13889,215.98148,205.5706,195.4102
-0.51453745,0.66316938,0.14392029,295.64157,282.70685,263.85507,239.27647,222.22365
-0.86003363,1.0432857,0.10905827,282.64905,273.04977,258.83627,239.16811,226.61389
0.33027175,0.95830381,0.16420189,270.11893,253.14799,230.94633,209.84285,194.68291
1.2750504,1.522887,0.16103007,266.43671,250.15213,228.4827,204.66992,193.01881
-0.87074,0.79312116,0.13116498,296.69638,285.51004,268.19473,244.08334,229.16423
1.9494578,21.001488,0.08550939,259.05301,275.34482,261.5022,243.99664,221.26517
0.93798411,0.64676815,0.16700917,275.90353,256.92172,233.87477,209.46716,196.06525
-0.7623654,2.1970913,0.12829933,291.2778,281.49789,263.43362,242.48186,229.26779
0.97959375,0.44944873,0.15448113,263.03625,247.29594,228.23706,206.53391,194.47821
2.4545832,18.454081,0.17633753,301.20703,279.35214,223.51689,201.34172,197.47888
1.277946,1.1285878,0.10639516,237.68221,225.04854,213.94891,205.87886,196.42648
1.9119189,34.765991,0.26103103,263.58536,207.62967,205.41888,184.52974,171.2964
-0.96885282,0.74128568,0.12173605,292.65775,284.60455,266.00803,243.43071,230.25998
0.66848671,3.6958525,0.18855056,314.71249,267.47949,241.20308,208.51108,195.62694
