"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
-0.27710614,0.81459451,0.1116894,274.39597,263.42639,252.32919,236.56718,220.10199
-0.56083721,1.9461159,0.11047419,273.34357,259.26495,247.91486,231.75792,217.82619
0.46411061,4.2921176,0.14544967,281.1752,255.36359,241.54263,225.94681,212.15717
1.2726213,3.2627907,0.11988209,272.65482,260.86401,246.38081,230.83073,215.19638
-0.48750454,2.6053653,0.11811279,280.60925,268.75827,256.65201,238.30113,222.02858
0.17541632,2.1510911,0.14697234,287.08984,272.24301,258.32092,235.61111,214.67621
0.21379475,2.4130051,0.11533479,277.7627,263.30118,253.06129,234.73933,219.28078
1.4353453,6.4904895,0.28511056,199.92085,143.92183,124.09229,112.22926,109.51756
1.1714259,3.1132462,0.25826791,334.45773,276.50079,242.50111,213.05786,197.08876
0.028380988,4.670743,0.11197007,274.24908,309.76593,251.048,231.82776,215.68767
1.5998503,1.1622761,0.19723572,313.85034,303.40335,274.80057,243.93884,213.20476
1.5416591,3.8344429,0.12566037,205.63081,202.21352,201.15147,188.85254,165.29504
0.35807019,2.1777084,0.13739663,276.71994,265.51434,250.58321,228.24428,210.19444
0.47087905,5.6275682,0.19461016,293.71014,267.88406,246.28448,220.02252,199.04184
1.1440489,4.6552277,0.12851641,284.5636,262.1091,252.4785,237.12109,219.88043
1.5562115,2.044589,0.14134043,272.47659,243.78471,229.98544,220.05864,210.68814
0.32427961,2.3744941,0.12752204,278.98129,264.12238,253.94031,235.94345,216.96162
1.3045374,5.7507353,0.14726675,277.37979,243.20433,236.31433,223.97205,202.11958
-1.0088975,2.1055994,0.2270287,295.88239,275.34723,247.02863,219.0544,197.03818
-0.77677369,0.92080039,0.12417068,284.30594,270.71136,259.59729,240.40353,221.60715
0.014047626,2.7698655,0.16383047,293.21405,271.2171,252.51221,227.81802,207.66096
1.6096584,2.8063912,0.13748096,271.59036,259.86942,244.72394,222.11528,207.58871
0.4404873,2.2523465,0.14686646,290.22781,269.38922,257.57434,236.336,216.54982
0.76800203,11.634732,0.27680677,176.65475,134.44295,110.43993,102.35062,96.414276
0.087279268,0.87370539,0.1102897,277.51227,264.67627,255.88135,236.5383,222.53914
0.49277806,0.7681464,0.13503422,283.28964,268.22122,254.41714,233.55206,215.65154
1.2594876,4.2092514,0.26142818,332.67563,275.06308,235.93864,202.78186,194.77443
0.34030941,1.1609616,0.10819119,277.36777,266.7811,258.46301,240.96707,224.82457
1.9303179,4.2642927,0.34071943,299.08054,241.21512,195.70642,163.12521,149.46561
0.13119812,2.040215,0.11965702,276.65012,258.53284,251.67654,232.36961,218.67389
1.3295346,4.0413308,0.26711556,332.23492,271.67947,229.07272,202.22556,189.35587
0.1502434,2.4108891,0.12274759,277.68564,265.642,253.09019,233.7953,217.75394
3.6794128,28.331202,0.095506638,224.29234,226.98717,236.43233,248.22552,204.61694
0.56543785,1.5934705,0.17710204,301.86929,280.38528,262.0874,234.77545,211.96692
0.26682386,1.4841101,0.13789348,290.21576,274.2226,260.73157,239.56546,218.54385
2.2481503,29.53347,0.20744275,315.48795,240.50949,209.36842,198.15561,182.83673
2.3512242,7.2974734,0.13819465,186.88258,154.09186,157.70905,149.37169,132.43448
0.93645459,4.2693348,0.1407163,222.18753,198.20137,194.57213,186.92352,171.79973
1.3785547,1.2999707,0.17507167,306.41367,297.27435,276.87646,245.67519,217.22173
0.42285207,1.4955446,0.17938615,306.83029,284.09158,263.97791,235.68095,213.72495
1.1871293,5.5272536,0.16396028,240.96947,239.83278,225.90106,213.25052,186.27812
0.23654579,2.8813899,0.14655378,273.83487,258.49188,246.2917,224.85828,204.8963
2.7667603,4.0385795,0.22693898,272.57053,244.54091,212.36909,186.0686,176.66679
2.1561525,7.7107153,0.36701474,293.19238,242.43127,189.45943,151.00208,147.7413
1.1188804,3.7693088,0.26630774,225.56631,217.37827,179.87218,153.70654,136.15762
2.3252962,20.671482,0.26660955,324.75247,247.91727,200.79504,175.20016,182.90657
-0.56305158,1.1060652,0.11349961,272.04071,259.14453,249.46097,233.17879,217.0387
-0.48335373,3.1222599,0.13759781,280.7345,268.08878,256.3028,234.65746,217.188
1.4255054,1.5085249,0.22691022,241.61969,208.87714,199.18875,171.01222,159.2094
1.6403539,8.556632,0.18719673,203.01546,189.63763,162.55685,150.89371,147.50529
1.7981178,4.0186758,0.17252965,289.61371,266.45355,246.65776,222.03099,205.5658
-0.014771895,3.0647116,0.18161118,291.83411,268.79199,249.65363,226.34418,206.34125
0.67363489,2.41118,0.21809009,217.22894,215.05188,194.78406,166.89893,147.36081
0.76308179,0.75630462,0.16264801,299.26596,279.47256,262.40771,236.40584,214.87126
0.15300758,3.5202441,0.12464644,288.4433,271.96606,258.60507,237.07292,220.64143
0.12127011,1.8005601,0.17577915,297.93661,279.52313,260.49316,232.68509,208.47977
0.90184158,0.97770256,0.19318181,313.51318,288.88882,265.10495,236.6274,212.88928
-0.021427143,3.3603158,0.1180592,279.84103,265.32651,255.53938,238.13255,220.8365
1.6570836,4.9343295,0.13325375,268.16583,258.24866,250.02208,229.20517,207.21544
2.0325658,13.156359,0.17933911,281.65927,252.66875,218.61128,205.29366,197.35847
0.6050235,4.2796659,0.16630752,279.31604,260.90979,244.53609,221.34224,202.94803
0.56471342,1.3997301,0.12497341,279.88919,264.23798,255.55142,236.76227,217.33731
0.85320181,8.6911068,0.21174905,236.79597,215.36255,181.36288,175.27483,163.05055
-1.0431688,1.4599146,0.091819808,266.75702,255.58755,249.20328,235.0235,221.69385
0.5117895,4.1567755,0.24042617,307.74301,292.28687,248.96968,214.98927,198.10022
-0.04897742,1.0053459,0.126132,282.81522,265.68533,254.70613,235.99162,218.90268
0.71159786,3.8802023,0.130523,275.93002,265.4108,253.87769,233.46536,212.34502
-0.12702781,2.7708449,0.12996943,279.31122,266.37411,254.08961,232.59117,215.39627
-0.32244471,2.8781874,0.16503733,295.11176,272.81857,247.53677,222.28386,203.39836
0.22803105,4.5802894,0.11177014,269.69989,263.29153,247.59698,229.30632,215.31198
